id,name,slug,amount,state,address,city,zip,naics_code,business_type,race,gender,veteran,non_profit,jobs_retained,date_approved,lender,congressional_district,loan_range_sort_key,previous_loan_range,previous_name,loan_number,sba_office_code,processing_method,loan_status,term,sba_guaranty_percentage,initial_approval_amount,current_approval_amount,undisbursed_amount,franchise_name,servicing_lender_location_id,servicing_lender_name,servicing_lender_address,servicing_lender_city,servicing_lender_state,servicing_lender_zip,rural_urban_indicator,hubzone_indicator,business_age_description,project_city,project_county_name,project_state,project_zip,utilities_proceed,payroll_proceed,mortgage_interest_proceed,rent_proceed,refinance_eidl_proceed,health_care_proceed,debt_interest_proceed,originating_lender_city,originating_lender_state,loan_status_date,originating_lender_location_id,old_slug,lmi_indicator,unmatched_original,unmatched_updated,previous_jobs_reported,ethnicity,forgiveness_amount,forgiveness_date
99606081,MD JAKIR HOSSAIN,md-jakir-hossain-4328318307,3648,MD,5219 Edgewood Rd,College Park,20740-4621,492210,Independent Contractors,Unanswered,Unanswered,Unanswered,NA,1,2021-01-23,"Kabbage, Inc.",MD-05,NA,NA,NA,4328318307,353,PPS,Exemption 4,60,100,3648,3648,0,NA,529113,"Kabbage, Inc.",925B Peachtree Street NE Suite 1688,Atlanta,GA,30309,U,N,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-4621,1,3645,NA,NA,NA,NA,NA,Atlanta,GA,NA,529113,NA,N,NA,NA,NA,Unknown/NotStated,NA,NA
99483598,8141 BALTIMORE AVENUE CORP,8141-baltimore-avenue-corp-8765488602,34885,MD,8147 Baltimore Ave Ste E,College Park,20740-2492,445310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,5,2021-03-25,Truist Bank d/b/a Branch Banking & Trust Co,MD-05,NA,NA,NA,8765488602,353,PPS,Exemption 4,60,100,34885,34885,0,NA,225134,Truist Bank d/b/a Branch Banking & Trust Co,214 N Tryon St,CHARLOTTE,NC,28202-1078,U,N,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-2492,1,34883,NA,NA,NA,NA,NA,CHARLOTTE,NC,NA,225134,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
99454723,PARADISE IRONWORKS AND CONSTRUCTION LLC,paradise-ironworks-and-construction-llc-7273668607,92038,MD,5110 Lakeland Rd,College Park,20740-2521,238990,Limited  Liability Company(LLC),Black or African American,Male Owned,Non-Veteran,NA,7,2021-03-23,"Bank of America, National Association",MD-05,NA,NA,NA,7273668607,353,PPS,Exemption 4,60,100,92038,92038,0,NA,9551,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,Y,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-2521,NA,92034,NA,NA,NA,NA,NA,CHARLOTTE,NC,NA,9551,NA,Y,NA,NA,NA,Not Hispanic or Latino,NA,NA
99553382,KWONS FOOD SERVICE LLC,kwons-food-service-llc-1350127403,14566.67,MD,5830 University Research Court 1102,College Park,20740,722513,Limited  Liability Company(LLC),Asian,Male Owned,Non-Veteran,NA,3,2020-05-04,Celtic Bank Corporation,MD-05,NA,NA,NA,1350127403,353,PPP,Exemption 4,24,100,14566.67,14566.67,0,NA,529050,"Square Capital, LLC","1455 Market Street, Suite 600",San Francisco,CA,94103,U,N,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-1047,1820.83,10925,1820.84,NA,NA,NA,NA,SALT LAKE CITY,UT,NA,223542,NA,N,NA,NA,NA,Not Hispanic or Latino,14731.89,2021-06-24
99604654,DAVISTONNE MESEMBE,davistonne-mesembe-7331558706,3910,MD,9703 Rhode Island Ave,College Park,20740-1529,517919,Independent Contractors,Black or African American,Male Owned,Non-Veteran,NA,1,2021-04-06,"Capital Plus Financial, LLC",MD-05,NA,NA,NA,7331558706,353,PPP,Exemption 4,60,100,3910,3910,0,NA,529472,"Capital Plus Financial, LLC",2247 Central Drive,Bedford,TX,76021,U,N,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-1529,1,3908,NA,NA,NA,NA,NA,Bedford,TX,NA,529472,NA,Y,NA,NA,NA,Not Hispanic or Latino,NA,NA
99464950,JR PAINTERS & REMODELING INC,jr-painters-remodeling-inc-6945988902,62500,MD,10100 52nd Ave,College Park,20740-1124,238320,Corporation,Unanswered,Unanswered,Unanswered,NA,11,2021-05-05,"Bank of America, National Association",MD-05,NA,NA,NA,6945988902,353,PPS,Exemption 4,60,100,62500,62500,0,NA,9551,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-1124,NA,62500,NA,NA,NA,NA,NA,CHARLOTTE,NC,NA,9551,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
99585002,NUNA BUSINESS GROUP,nuna-business-group-1865278800,7500,MD,9658 Baltimore Ave Ste 300,College Park,20740-1346,531210,Sole Proprietorship,Unanswered,Unanswered,Unanswered,NA,1,2021-04-11,"A10Capital, LLC",MD-05,NA,NA,NA,1865278800,353,PPP,Exemption 4,60,100,7500,7500,0,NA,530323,"A10Capital, LLC","800 West Main Street, Suite 400",Boise,ID,83702,U,N,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-1346,NA,7500,NA,NA,NA,NA,NA,Boise,ID,NA,530323,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
99598118,GEORGE NJOKU,george-njoku-4634968802,5083,MD,9122 Baltimore Ave Apt 3004,College Park,20740-1370,541213,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,NA,1,2021-04-16,"Harvest Small Business Finance, LLC",MD-05,NA,NA,NA,4634968802,353,PPS,Exemption 4,60,100,5083,5083,0,NA,509316,"Harvest Small Business Finance, LLC",24422 Avenida de la Carlota Suite 232,Laguna Hills,CA,92653,U,Y,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-1370,NA,5083,NA,NA,NA,NA,NA,Laguna Hills,CA,NA,509316,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
99607745,AFROZA AKTER,afroza-akter-9057218802,3327,MD,4714 Muskogee St,College Park,20740-1448,624410,Sole Proprietorship,Unanswered,Unanswered,Unanswered,NA,1,2021-04-23,Benworth Capital,MD-05,NA,NA,NA,9057218802,353,PPP,Exemption 4,60,100,3327,3327,0,NA,529192,Benworth Capital,7000 SW 97th Avenue Suite 201,Miami,FL,33173,U,N,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-1448,NA,3327,NA,NA,NA,NA,NA,Miami,FL,NA,529192,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
99494133,W.R. LOVE INC.,w-r-love-inc-2917168701,25300,MD,7309 Baltimore Ave Ste 215,College Park,20740-3200,541310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,2,2021-03-30,The Queenstown Bank of Maryland,MD-05,NA,NA,NA,2917168701,353,PPS,Exemption 4,60,100,25300,25300,0,NA,30851,The Queenstown Bank of Maryland,7101 Main St,QUEENSTOWN,MD,21658-1223,U,Y,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-3200,1,25298,NA,NA,NA,NA,NA,QUEENSTOWN,MD,NA,30851,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
99612513,PLAY AND LEARN FAMILY DAYCARE,play-and-learn-family-daycare-4262338004,2497.5,MD,5007 Cree Lane,College Park,20740,624410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,2,2020-06-25,"Fundbox, Inc.",MD-05,NA,NA,NA,4262338004,353,PPP,Exemption 4,60,100,2497.5,2497.5,0,NA,529253,"Fundbox, Inc.","560 Mission Street, 13th Floor",San Francisco,CA,94105,U,Y,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-1047,NA,2497.5,NA,NA,NA,NA,NA,San Francisco,CA,NA,529253,NA,Y,NA,NA,NA,Unknown/NotStated,2520.32,2021-05-24
99571311,MOUSSA TRAORE,moussa-traore-5867158801,10271,MD,7512 Creighton Dr,College Park,20740-3014,611691,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,NA,1,2021-04-18,Fountainhead SBF LLC,MD-05,NA,NA,NA,5867158801,353,PPP,Exemption 4,60,100,10271,10271,0,NA,524612,Fountainhead SBF LLC,3216 W. Lake Mary Blvd,LAKE MARY,FL,32746,U,N,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-3014,NA,10271,NA,NA,NA,NA,NA,LAKE MARY,FL,NA,524612,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
99605169,ORLANDO ARIAS,orlando-arias-3433758906,3803,MD,9336 Cherry Hill Rd,College Park,20740-1261,484110,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,NA,1,2021-04-28,Benworth Capital,MD-05,NA,NA,NA,3433758906,353,PPS,Exemption 4,60,100,3803,3803,0,NA,529192,Benworth Capital,7000 SW 97th Avenue Suite 201,Miami,FL,33173,U,N,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-1261,NA,3803,NA,NA,NA,NA,NA,Miami,FL,NA,529192,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
99549052,DEONTAE THOMPSON,deontae-thompson-6712888808,15625,MD,8700 Baltimore Ave,College Park,20740-2113,713940,Sole Proprietorship,Unanswered,Unanswered,Unanswered,NA,1,2021-04-20,"Harvest Small Business Finance, LLC",MD-05,NA,NA,NA,6712888808,353,PPP,Exemption 4,60,100,15625,15625,0,NA,509316,"Harvest Small Business Finance, LLC",24422 Avenida de la Carlota Suite 232,Laguna Hills,CA,92653,U,Y,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-2113,NA,15625,NA,NA,NA,NA,NA,Laguna Hills,CA,NA,509316,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
99619391,UNITA CELINA SARGUSINGH,unita-celina-sargusingh-5196168704,847,MD,5028 Berwyn Rd,College Park,20740-4106,561990,Independent Contractors,Unanswered,Unanswered,Unanswered,NA,1,2021-04-02,"Harvest Small Business Finance, LLC",MD-05,NA,NA,NA,5196168704,353,PPP,Exemption 4,60,100,847,847,0,NA,509316,"Harvest Small Business Finance, LLC",24422 Avenida de la Carlota Suite 232,Laguna Hills,CA,92653,U,Y,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-4106,NA,847,NA,NA,NA,NA,NA,Laguna Hills,CA,NA,509316,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
99507558,AYRTON SOUMAH,ayrton-soumah-5078119009,20833,MD,4820 Fox St,College Park,20740-1859,561720,Sole Proprietorship,Unanswered,Unanswered,Unanswered,NA,1,2021-05-21,"Capital Plus Financial, LLC",MD-05,NA,NA,NA,5078119009,353,PPP,Active Un-Disbursed,60,100,20833,20833,20833,NA,529472,"Capital Plus Financial, LLC",2247 Central Drive,Bedford,TX,76021,U,N,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-1859,NA,20833,NA,NA,NA,NA,NA,Bedford,TX,2021-05-21,529472,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
99444662,PLACEMENT READY LLC,placement-ready-llc-1220878501,143197,MD,9658 Baltimore Ave Suit 300,College Park,20740-1346,561311,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,10,2021-02-18,"TD Bank, National Association",MD-05,NA,NA,NA,1220878501,353,PPS,Exemption 4,60,100,143197,143197,0,NA,29805,"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808-5529,U,N,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-1346,NA,143195,NA,NA,NA,NA,NA,WILMINGTON,DE,NA,29805,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
99563982,LIVINCONCEPTS LLC,livinconcepts-llc-9425868705,11892,MD,5016 Delaware Pl,College Park,20740-1924,236118,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,1,2021-04-08,"JPMorgan Chase Bank, National Association",MD-05,NA,NA,NA,9425868705,353,PPP,Exemption 4,60,100,11892,11892,0,NA,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,Y,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-1924,NA,11891,NA,NA,NA,NA,NA,COLUMBUS,OH,NA,48270,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
99594729,LANCE TELFORD,lance-telford-2532968301,5700,MD,9600 Milestone Way,College Park,20740-4252,485310,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,NA,1,2021-01-21,"Newtek Small Business Finance, Inc.",MD-05,NA,NA,NA,2532968301,353,PPS,Exemption 4,60,100,7700,5700,0,NA,317954,"Newtek Small Business Finance, Inc.",1981 Marcus Avenue,LAKE SUCCESS,NY,11042,U,N,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-4252,NA,5700,NA,NA,NA,NA,NA,LAKE SUCCESS,NY,NA,317954,NA,N,NA,NA,NA,Unknown/NotStated,NA,NA
99571477,TADIYOS LIMENIH,tadiyos-limenih-3565818902,10231,MD,4812 College Ave B 13,College Park,20740,485310,Sole Proprietorship,Unanswered,Unanswered,Unanswered,NA,1,2021-04-28,Benworth Capital,MD-05,NA,NA,NA,3565818902,353,PPS,Exemption 4,60,100,10231,10231,0,NA,529192,Benworth Capital,7000 SW 97th Avenue Suite 201,Miami,FL,33173,U,N,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740,NA,10231,NA,NA,NA,NA,NA,Miami,FL,NA,529192,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
99496804,"FELICIA EVERETT-BLAKE INSURANCE AGENCY, INC.",felicia-everett-blake-insurance-agency-inc-8484267200,23384.42,MD,8902 Rhode Island Ave,College Park,20740,524210,Corporation,Unanswered,Unanswered,Unanswered,NA,6,2020-04-28,Tidemark FCU,MD-05,NA,NA,NA,8484267200,353,PPP,Paid in Full,24,100,23384.42,23384.42,0,NA,93820,Tidemark FCU,1941 Bridgeville Hwy,SEAFORD,DE,19973-1614,U,Y,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-1047,NA,23384.42,NA,NA,NA,NA,NA,SEAFORD,DE,2021-03-05,93820,NA,Y,NA,NA,NA,Unknown/NotStated,23566.37,2021-02-09
99528528,KWON'S FOOD SERVICE LLC,kwon-s-food-service-llc-2723588406,20393,MD,5830 University Research Ct Rm 1102,College Park,20740-3818,722513,Limited  Liability Company(LLC),Asian,Male Owned,Non-Veteran,NA,4,2021-02-04,Cross River Bank,MD-05,NA,NA,NA,2723588406,353,PPS,Exemption 4,60,100,20393,20393,0,NA,456756,Cross River Bank,885 Teaneck Rd,TEANECK,NJ,07666-4546,U,N,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-3818,1,20387,NA,NA,NA,NA,NA,TEANECK,NJ,NA,456756,NA,N,NA,NA,NA,Not Hispanic or Latino,NA,NA
99605171,ORLANDO ARIAS,orlando-arias-6288068700,3803,MD,9336 Cherry Hill Rd,College Park,20740-1261,484110,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,NA,1,2021-04-03,Benworth Capital,MD-05,NA,NA,NA,6288068700,353,PPP,Exemption 4,60,100,3803,3803,0,NA,529192,Benworth Capital,7000 SW 97th Avenue Suite 201,Miami,FL,33173,U,N,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-1261,NA,3803,NA,NA,NA,NA,NA,Miami,FL,NA,529192,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
99473962,SITARAM ENTERPRISES INC.,sitaram-enterprises-inc-8250028409,46692.45,MD,5043 Branchville Rd,College Park,20740-2253,721110,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,NA,9,2021-02-13,"WesBanco Bank, Inc.",MD-05,NA,NA,NA,8250028409,353,PPS,Exemption 4,60,100,46692.45,46692.45,0,NA,75497,"WesBanco Bank, Inc.",1 Bank Plz,WHEELING,WV,26003-3543,U,Y,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-2253,1,46686.45,NA,NA,NA,NA,NA,WHEELING,WV,NA,75497,NA,Y,NA,NA,NA,Not Hispanic or Latino,NA,NA
99515694,DANYELL CARTER,danyell-carter-1614569000,20832,MD,4800 Berwyn House Rd Apt 419,College Park,20740-2453,453998,Sole Proprietorship,Black or African American,Female Owned,Non-Veteran,NA,1,2021-05-13,"Prestamos CDFI, LLC",MD-05,NA,NA,NA,1614569000,353,PPP,Exemption 4,60,100,20832,20832,0,NA,188361,"Prestamos CDFI, LLC",1024 East Buckeye Road Suite 270,Phoenix,AZ,85034,U,Y,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-2453,1,20830,NA,NA,NA,NA,NA,Phoenix,AZ,NA,188361,NA,Y,NA,NA,NA,Not Hispanic or Latino,NA,NA
99529194,ANTHONY HICKS,anthony-hicks-8758079007,20312,MD,9600 Milestone Way Apt 1040,College Park,20740-4258,448190,Independent Contractors,Black or African American,Male Owned,Non-Veteran,NA,1,2021-05-28,"Prestamos CDFI, LLC",MD-05,NA,NA,NA,8758079007,353,PPP,Exemption 4,60,100,20312,20312,0,NA,188361,"Prestamos CDFI, LLC",1024 East Buckeye Road Suite 270,Phoenix,AZ,85034,U,N,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-4258,1,20307,NA,NA,NA,NA,NA,Phoenix,AZ,NA,188361,NA,Y,NA,NA,NA,Not Hispanic or Latino,NA,NA
99619121,MICHAEL BRETT LAVENSTEIN,michael-brett-lavenstein-6336628109,951,MD,5014 Quebec St,College Park,20740-2513,711510,Independent Contractors,Unanswered,Unanswered,Unanswered,NA,1,2020-07-21,"Kabbage, Inc.",MD-05,NA,NA,NA,6336628109,353,PPP,Exemption 4,60,100,951,951,0,NA,529113,"Kabbage, Inc.",925B Peachtree Street NE Suite 1688,Atlanta,GA,30309,U,Y,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-2513,NA,951,NA,NA,NA,NA,NA,Atlanta,GA,NA,529113,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
99458864,GAILES' VIOLIN SHOP INC.,gailes-violin-shop-inc-9204608508,78358,MD,10013 Rhode Island Ave,College Park,20740-1141,451140,Corporation,Unanswered,Unanswered,Unanswered,NA,13,2021-03-12,"Capital One, National Association",MD-05,NA,NA,NA,9204608508,353,PPS,Exemption 4,60,100,78358,78358,0,NA,28811,"Capital One, National Association",1680 Capital One Dr,MCLEAN,VA,22102-3407,U,N,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-1141,NA,78354,NA,NA,NA,NA,NA,MCLEAN,VA,NA,28811,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
99443614,CR CALDERON CONSTRUCTION INC-SBA SMALL 7A TERM,cr-calderon-construction-inc-sba-small-7a-term-4137577708,149862,MD,5104 Branchville Road,College Park,20740,236220,Corporation,White,Male Owned,Non-Veteran,NA,8,2020-05-01,"TD Bank, National Association",MD-05,NA,NA,NA,4137577708,353,PPP,Paid in Full,24,100,149862,149862,0,NA,29805,"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808-5529,U,Y,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-1047,NA,149862,NA,NA,NA,NA,NA,WILMINGTON,DE,2021-01-22,29805,NA,Y,NA,NA,NA,Hispanic or Latino,150823.61,2020-12-23
99533924,ELGENE COTTON,elgene-cotton-6957558801,19750,MD,9014 Rhode Island Ave Apt 409,College Park,20740-1942,561720,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,NA,1,2021-04-20,Northwest FCU,MD-05,NA,NA,NA,6957558801,353,PPP,Exemption 4,60,100,19750,19750,0,NA,94031,Northwest FCU,200 Spring St,HERNDON,VA,20170-5241,U,Y,Existing or more than 2 years old,College Park,PRINCE GEORGES,MD,20740-1942,NA,19750,NA,NA,NA,NA,NA,HERNDON,VA,NA,94031,NA,Y,NA,NA,NA,Unknown/NotStated,NA,NA
