Number of Military and DoD Appropriated Fund (APF) Civilian Personnel Permanently Assigned,,,,,,,,,,,,,,,,,,,,,,
By Duty Location and Service/Component,,,,,,,,,,,,,,,,,,,,,,
"As of September 30, 2019",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, Reserve Common Components Personnel Data System (RCCPDS) File, Appropriated Fund (APF) Civilian Master File",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,DUTY STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,DELAWARE,72,15,20,"3,422",39,"3,568","1,588",505,145,146,"1,081","1,528",7,"5,000",210,3,2,993,123,"1,331","9,899"
,DISTRICT OF COLUMBIA,"1,721","2,440","2,233","1,823","1,794","10,011","1,266",488,78,714,"1,337",242,177,"4,302","1,309","10,597",28,328,811,"13,073","27,386"
,FLORIDA,"5,713","28,156","3,600","22,737","4,908","65,114","9,381","10,380","6,330","1,631","2,124","6,675",820,"37,341","3,894","13,464",288,"12,294","2,336","32,276","134,731"
,GEORGIA,"52,957","5,818","1,391","9,181",489,"69,836","11,401","8,123","1,541",783,"2,832","3,154",74,"27,908","11,972","2,531","2,013","15,221","2,962","34,699","132,443"
,HAWAII,"15,346","13,558","6,453","5,403","1,260","42,020","2,986","2,429",691,311,"2,339",765,116,"9,637","5,177","11,088",650,"1,424","1,252","19,591","71,248"
,IDAHO,63,35,41,"3,401",4,"3,544","3,128",753,188,116,"1,337",28,0,"5,550",677,74,0,700,47,"1,498","10,592"
,ILLINOIS,"1,002","15,649",397,"4,460",138,"21,646","10,202","6,385","2,075","1,347","2,964","1,538",74,"24,585","6,975","1,039",32,"2,869","1,232","12,147","58,378"
,INDIANA,632,108,189,92,33,"1,054","11,078","2,749",396,612,"1,902","1,599",8,"18,344","1,962","4,007",326,818,"4,563","11,676","31,074"
,IOWA,120,20,73,27,35,275,"6,680","2,106",150,142,"1,912",0,0,"10,990",974,6,2,376,74,"1,432","12,697"
,KANSAS,"18,397",74,107,"3,149",77,"21,804","4,320","2,458",135,202,"2,184",749,18,"10,066","5,557",4,0,"1,006",338,"6,905","38,775"
,KENTUCKY,"31,782",33,90,238,162,"32,305","6,511","4,162",337,248,"1,271",5,42,"12,576","8,482",20,2,279,938,"9,721","54,602"
,LOUISIANA,"8,013",416,739,"5,292","1,196","15,656","9,924","1,878","1,148","1,181","1,537","1,341",122,"17,131","3,371",563,237,"1,543",270,"5,984","38,771"
,MAINE,51,84,19,10,645,809,"1,870",312,102,162,"1,105",0,56,"3,607",286,"7,145",0,239,793,"8,463","12,879"
,MARYLAND,"8,410","9,929","1,835","8,456",879,"29,509","4,594","5,754","3,915",608,"1,896","1,894",165,"18,826","16,664","17,561",135,"3,028","9,007","46,395","94,730"
,MASSACHUSETTS,402,392,209,"1,130","1,589","3,722","5,789","3,423",295,890,"2,182","2,023",405,"15,007","2,277",158,6,"3,284",856,"6,581","25,310"
,MICHIGAN,454,232,186,90,"1,103","2,065","8,238","2,889",938,890,"2,393",1,91,"15,440","7,058",30,11,698,"1,609","9,406","26,911"
,MINNESOTA,192,143,119,52,125,631,"11,099","3,072",624,455,"2,268","1,416",28,"18,962","1,448",20,1,776,177,"2,422","22,015"
,MISSISSIPPI,502,"5,224",508,"6,254",250,"12,738","9,378","1,844",597,87,"2,630","1,581",130,"16,247","3,866","2,537",1,"2,455",317,"9,176","38,161"
,MISSOURI,"10,929",296,"1,391","4,239",187,"17,042","9,380","4,758","1,169",753,"2,260","1,050",86,"19,456","5,597",47,110,"1,173",756,"7,683","44,181"
,MONTANA,69,6,23,"3,252",0,"3,350","2,473",621,111,77,955,24,0,"4,261",473,0,0,722,42,"1,237","8,848"
,NEBRASKA,163,351,90,"5,606",16,"6,226","3,209","1,143",278,144,989,322,0,"6,085","1,307",38,3,"2,575",110,"4,033","16,344"
,NEVADA,224,966,55,"10,187",1,"11,433","3,228","1,439",489,203,"1,221","1,240",0,"7,820",466,295,0,"1,639",185,"2,585","21,838"
,NEW HAMPSHIRE,58,849,35,116,160,"1,218","1,607",996,292,198,"1,099",0,7,"4,199",446,12,2,326,189,975,"6,392"
,NEW JERSEY,664,453,376,"4,858","1,786","8,137","6,057","4,141","1,298","1,201","2,373","2,310",188,"17,568","5,077","2,427",9,"1,960",599,"10,072","35,777"
,NEW MEXICO,385,69,68,"12,065",5,"12,592","2,872",706,210,82,"1,006",232,0,"5,108","2,270",111,1,"3,601",406,"6,389","24,089"
,NEW YORK,"17,230",952,670,416,"1,014","20,282","10,155","7,830","1,871","1,871","5,566","1,302",383,"28,978","6,998",102,27,"2,011","1,985","11,123","60,383"
,NORTH CAROLINA,"44,881","4,533","44,471","6,705","1,689","102,279","9,744","6,091","1,246","1,047","1,426","1,600",186,"21,340","10,639","4,937","2,822","1,211","2,543","22,152","145,771"
,NORTH DAKOTA,15,3,14,"7,297",0,"7,329","2,954",179,65,62,"1,134",32,0,"4,426",469,2,0,"1,145",65,"1,681","13,436"
,OHIO,547,243,287,"5,503",397,"6,977","11,629","5,468","1,325",995,"5,104","3,590",226,"28,337","1,557",119,3,"15,306","9,534","26,519","61,833"
,OKLAHOMA,"13,089","1,512",456,"7,320",19,"22,396","6,468","1,977",468,319,"2,204","1,829",0,"13,265","5,483",137,8,"17,489","1,840","24,957","60,618"
,OREGON,111,160,122,151,"1,031","1,575","5,483",523,521,355,"2,382",115,64,"9,443","2,302",20,2,551,31,"2,906","13,924"
,PENNSYLVANIA,"1,028",645,384,235,328,"2,620","14,286","7,283",952,"1,360","4,127","1,287",122,"29,417","8,550","7,444",18,"1,079","8,696","25,787","57,824"
,RHODE ISLAND,143,"2,770",214,73,313,"3,513","2,052",502,607,95,"1,042",2,49,"4,349",230,"4,526",2,182,119,"5,059","12,921"
,SOUTH CAROLINA,"12,295","7,734","10,681","8,738",872,"40,320","9,391","3,935",641,412,"1,259","2,167",160,"17,965","3,419","3,755",769,"1,980",711,"10,634","68,919"
,SOUTH DAKOTA,78,2,10,"3,352",0,"3,442","3,135",334,85,0,"1,118",21,0,"4,693",465,1,0,731,48,"1,245","9,380"
,TENNESSEE,408,"1,507",165,167,160,"2,407","9,364","3,412","1,356",693,"3,467",6,41,"18,339","3,194","1,285",3,"1,048",512,"6,042","26,788"
,TEXAS,"73,311","6,083","2,175","39,306","1,806","122,681","18,199","18,156","5,653","3,380","3,407","6,040",331,"55,166","24,933","1,458",29,"16,708","4,639","47,767","225,614"
,UTAH,187,42,91,"4,243",0,"4,563","5,654","3,009",406,239,"1,461","1,387",0,"12,156","1,931",46,2,"12,598","1,162","15,739","32,458"
,VERMONT,57,9,8,50,36,160,"2,336",138,53,0,976,1,0,"3,504",264,3,0,255,33,555,"4,219"
,VIRGINIA,"23,224","77,498","11,572","12,578","4,211","129,083","7,241","7,942","5,089","1,911","1,458","1,998",577,"26,216","17,748","42,458","5,264","6,117","25,301","96,888","252,187"
,WASHINGTON,"26,733","24,536",765,"6,402","1,966","60,402","5,482","5,540","2,328",646,"1,978","1,817",316,"18,107","9,204","20,190",4,"1,436","1,282","32,116","110,625"
,WEST VIRGINIA,67,3,37,18,64,189,"4,172","1,780",76,96,"2,125",0,9,"8,258","1,254",4,0,434,48,"1,740","10,187"
,WISCONSIN,511,41,116,117,290,"1,075","7,218","3,800",418,460,"2,311",0,77,"14,284","1,851",68,2,331,129,"2,381","17,740"
,WYOMING,38,1,10,"3,093",0,"3,142","1,514",80,75,0,"1,230",56,0,"2,955",224,2,0,773,36,"1,035","7,132"
,ZZ-UNKNOWN,"5,749",0,0,0,0,"5,749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,749"
UNITED STATES TOTAL,,"430,358","295,132","153,425","273,891","39,598","1,192,404","328,428","184,701","58,681","34,613","105,637","68,508","6,210","786,778","239,362","196,534","17,921","166,322","102,130","722,269","2,701,451"
OVERSEAS,AFGHANISTAN*, , , , , , , , , , , , , , , , , , , , , 
,AKROTIRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,63,63
,ALBANIA,1,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,ALGERIA,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,AMERICAN SAMOA,2,0,1,0,0,3,0,306,0,0,0,0,0,306,18,0,0,0,0,18,327
,ANGOLA,3,0,9,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,ARGENTINA,1,4,9,7,1,22,0,0,0,0,1,0,0,1,0,0,0,0,0,0,23
,ARMENIA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,AUSTRALIA,34,711,"2,032",81,0,"2,858",0,0,0,0,0,0,0,0,3,9,0,5,4,21,"2,879"
,AUSTRIA,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,AZERBAIJAN,1,2,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,"BAHAMAS, THE",1,51,7,0,10,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
,BAHRAIN,15,"3,322",595,21,249,"4,202",0,0,24,1,0,0,0,25,18,303,0,0,156,477,"4,704"
,BANGLADESH,3,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,BARBADOS,1,0,7,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,BELGIUM,620,46,11,369,0,"1,046",0,0,0,0,0,4,0,4,378,0,0,12,327,717,"1,767"
,BELIZE,0,1,6,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,BENIN,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,BOLIVIA,2,0,9,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,BOSNIA AND HERZEGOVINA,1,0,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
,BOTSWANA,4,0,6,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,BRAZIL,9,10,26,8,1,54,0,0,0,0,0,0,0,0,4,2,0,1,0,7,61
,BRITISH ATLANTIC OCEAN TERRITORY,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,BRITISH INDIAN OCEAN TERRITORY,0,287,0,38,0,325,0,0,0,0,0,0,0,0,0,4,0,0,0,4,329
,BRUNEI,0,1,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,BULGARIA,3,4,0,4,0,11,0,0,0,0,1,0,0,1,20,0,0,2,0,22,34
,BURKINA FASO,0,0,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,BURMA,3,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,BURUNDI,0,0,7,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,CAMBODIA,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,CAMEROON,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,CANADA,9,42,12,76,5,144,0,0,0,0,1,0,0,1,2,7,0,1,25,35,180
,CENTRAL AFRICAN REPUBLIC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,CHAD,3,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,CHILE,3,9,12,10,0,34,0,0,0,0,1,0,0,1,2,1,0,2,1,6,41
,CHINA,8,6,2,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
,COLOMBIA,24,4,15,16,3,62,0,0,0,0,0,0,0,0,16,1,0,1,1,19,81
,CONGO (BRAZZAVILLE),0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,CONGO (KINSHASA),2,0,14,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,COSTA RICA,1,1,7,0,2,11,0,0,1,0,0,0,0,1,2,0,0,0,0,2,14
,COTE DIVOIRE,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,CROATIA,3,1,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6
,CUBA,149,529,91,0,7,776,0,0,0,0,0,0,0,0,19,198,0,0,54,271,"1,047"
,CYPRUS,6,0,0,13,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20
,CZECHIA,2,1,1,4,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9
,DENMARK,2,3,0,5,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11
,DJIBOUTI,1,0,85,2,0,88,0,0,0,0,0,0,0,0,1,2,0,0,0,3,91
,DOMINICAN REPUBLIC,10,0,9,2,4,25,0,0,0,0,0,0,0,0,5,0,0,0,0,5,30
,ECUADOR,10,2,15,2,0,29,0,0,0,0,0,0,0,0,3,0,0,0,0,3,32
,EGYPT,248,5,1,22,0,276,0,0,0,0,0,0,0,0,4,1,0,6,0,11,287
,EL SALVADOR,7,35,11,2,1,56,0,0,1,0,0,0,0,1,3,1,0,0,0,4,61
,ESTONIA,1,1,0,2,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5
,ETHIOPIA,5,2,9,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
,FIJI,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,FINLAND,3,6,3,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,FRANCE,23,12,4,18,0,57,0,0,0,0,0,0,0,0,3,2,0,7,0,12,69
,GABON,2,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,GEORGIA,9,0,9,0,0,18,0,0,0,0,0,0,0,0,4,0,0,0,2,6,24
,GERMANY,"20,744",396,"1,219","12,905",11,"35,275",0,0,8,121,9,316,0,454,"6,081",36,27,"1,185","4,008","11,337","47,066"
,GHANA,4,3,1,2,0,10,0,0,0,0,0,0,0,0,0,1,0,1,0,2,12
,GREECE,7,357,0,25,0,389,0,0,0,0,0,0,0,0,3,81,0,0,0,84,473
,GREENLAND,0,0,0,146,0,146,0,0,0,0,0,1,0,1,0,0,0,1,0,1,148
,GUAM,167,"3,362",25,"2,006",0,"5,560","1,164",502,248,0,385,266,0,"2,565",151,"1,450",8,104,619,"2,332","10,457"
,GUATEMALA,17,1,9,2,0,29,0,0,0,0,1,0,0,1,3,1,0,0,0,4,34
,GUINEA,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,GUYANA,1,1,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
,HAITI,2,0,7,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,HONDURAS,213,2,113,145,1,474,0,0,0,0,0,0,0,0,26,1,0,0,0,27,501
,HONG KONG,2,9,2,9,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
,HUNGARY,6,132,0,56,0,194,0,0,0,0,0,0,0,0,2,0,0,1,0,3,197
,ICELAND,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
,INDIA,7,9,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,2,22
,INDONESIA,3,11,2,2,0,18,0,0,0,0,1,0,0,1,1,1,0,0,0,2,21
,IRAQ*,,,,,,,,,,,,,,,,,,,,,
,IRELAND,1,0,7,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,ISRAEL,47,4,3,15,0,69,0,0,0,0,0,0,0,0,15,1,0,2,4,22,91
,ITALY,"3,955","3,992",318,"4,636",1,"12,902",0,0,38,0,1,37,0,76,649,808,0,158,818,"2,433","15,411"
,JAMAICA,1,1,7,0,2,11,0,0,0,0,0,0,0,0,2,0,0,0,0,2,13
,JAPAN,"2,626","20,392","19,607","12,602",18,"55,245",0,0,75,87,2,90,0,254,766,"1,758",585,754,"3,120","6,983","62,482"
,JORDAN,11,2,70,12,0,95,0,0,0,0,0,0,0,0,2,1,0,2,0,5,100
,KAZAKHSTAN,4,1,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,KENYA,15,4,17,8,0,44,0,0,1,0,0,0,0,1,0,1,0,0,0,1,46
,"KOREA, SOUTH","17,602",255,809,"7,858",1,"26,525",0,0,3,3,0,59,0,65,"1,892",40,6,218,819,"2,975","29,565"
,KUWAIT,687,3,"1,071",37,0,"1,798",0,0,0,0,1,0,0,1,169,0,0,10,20,199,"1,998"
,KYRGYZSTAN,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,LAOS,3,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7
,LATVIA,3,0,1,2,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9
,LEBANON,2,0,17,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
,LIBERIA,4,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,LIBYA,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,LITHUANIA,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,3,5
,LUXEMBOURG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,24
,MACEDONIA,3,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,MADAGASCAR,0,2,7,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,MALAWI,2,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,MALAYSIA,2,4,2,3,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12
,MALI,5,0,5,3,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,1,14
,MALTA,0,3,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,MARSHALL ISLANDS,17,0,0,0,0,17,0,0,0,0,0,0,0,0,67,0,0,0,0,67,84
,MAURITANIA,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,MAURITIUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
,MEXICO,15,6,45,4,3,73,0,0,0,0,0,0,0,0,1,0,0,10,0,11,84
,MOLDOVA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,MONGOLIA,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5
,MONTENEGRO,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,MOROCCO,3,3,1,8,0,15,0,0,0,0,0,0,0,0,3,1,0,1,1,6,21
,MOZAMBIQUE,1,0,6,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,NAMIBIA,1,0,8,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,NEPAL,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,NETHERLANDS,122,25,1,214,31,393,0,0,0,0,0,0,0,0,88,0,0,3,125,216,609
,NETHERLANDS ANTILLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
,NEW ZEALAND,2,3,2,1,0,8,0,0,0,0,0,0,0,0,0,1,0,1,2,4,12
,NICARAGUA,4,0,7,1,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,2,14
,NIGER,3,0,6,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,NIGERIA,2,1,0,4,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8
,NORTHERN MARIANA ISLANDS,1,0,1,0,0,2,0,79,0,0,0,0,0,79,2,3,0,0,0,5,86
,NORWAY,27,5,485,38,1,556,0,0,0,0,0,0,0,0,1,1,0,3,0,5,561
,OMAN,3,3,3,5,0,14,0,0,0,0,0,0,0,0,0,1,0,2,1,4,18
,PAKISTAN,6,1,3,17,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
,PANAMA,18,4,8,0,3,33,0,0,0,0,0,0,0,0,6,1,0,1,0,8,41
,PARAGUAY,3,0,7,1,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,2,13
,PERU,6,18,17,3,0,44,0,0,0,0,0,0,0,0,4,6,0,0,0,10,54
,PHILIPPINES,11,10,138,10,1,170,0,0,0,0,0,0,0,0,1,10,0,3,1,15,185
,POLAND,52,83,4,24,0,163,0,0,0,0,0,0,0,0,20,9,0,1,1,31,194
,PORTUGAL,2,47,1,182,0,232,0,0,0,0,0,0,0,0,3,2,0,3,0,8,240
,PUERTO RICO,93,28,19,21,0,161,"5,768","4,363",244,0,"1,098",0,0,"11,473","1,061",26,0,228,577,"1,892","13,526"
,QATAR,281,3,30,231,0,545,0,0,0,0,0,0,0,0,56,0,0,3,2,61,606
,ROMANIA,7,81,8,12,0,108,0,0,0,0,0,0,0,0,39,12,0,1,1,53,161
,RUSSIA,5,2,3,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
,RWANDA,6,0,6,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13
,SAUDI ARABIA,211,19,24,54,6,314,0,0,0,0,0,0,0,0,193,2,0,16,30,241,555
,SENEGAL,3,3,4,1,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12
,SERBIA,4,0,0,5,0,9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,10
,SIERRA LEONE,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,SINGAPORE,10,158,8,18,6,200,0,0,1,0,0,0,0,1,2,152,0,0,18,172,373
,SLOVAKIA,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SLOVENIA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
,SOMALIA,1,2,82,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
,SOUTH AFRICA,5,3,36,3,0,47,0,0,0,0,0,0,0,0,0,1,0,0,1,2,49
,SOUTH SUDAN,1,0,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,SPAIN,22,"2,570",695,370,1,"3,658",0,0,5,0,0,1,0,6,2,236,0,10,155,403,"4,067"
,SRI LANKA,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SUDAN,1,0,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,SURINAME,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,SWAZILAND,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,SWEDEN,1,2,1,4,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,SWITZERLAND,25,0,1,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
,SYRIA*,,,,,,,,,,,,,,,,,,,,,
,TAIWAN,0,2,2,4,0,8,0,0,0,0,0,0,0,0,0,1,0,0,15,16,24
,TAJIKISTAN,4,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,TANZANIA,3,2,10,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,1,16
,THAILAND,43,9,222,29,0,303,0,0,0,0,0,0,0,0,4,5,0,1,3,13,316
,TIMOR-LESTE,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,TRINIDAD AND TOBAGO,1,1,7,0,0,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,10
,TUNISIA,6,4,19,1,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,1,31
,TURKEY,141,6,2,"1,510",0,"1,659",0,0,0,0,0,2,0,2,7,0,0,22,39,68,"1,729"
,TURKMENISTAN,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,UGANDA,6,0,10,1,0,17,0,0,0,0,0,0,0,0,1,0,0,1,0,2,19
,UKRAINE,9,2,2,5,0,18,0,0,0,0,0,0,0,0,3,0,0,0,3,6,24
,UNITED ARAB EMIRATES,30,14,221,87,0,352,0,0,0,0,0,0,0,0,6,9,0,4,3,22,374
,UNITED KINGDOM,282,204,26,"8,733",9,"9,254",0,0,0,3,1,100,0,104,33,24,0,531,640,"1,228","10,586"
,URUGUAY,2,6,7,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
,UZBEKISTAN,3,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,VIETNAM,0,2,1,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,3,4,8
,"VIRGIN ISLANDS, U.S.",4,1,1,1,0,7,613,31,0,0,56,0,0,700,112,0,0,1,0,113,820
,WAKE ISLAND,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,YEMEN,3,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,ZAMBIA,1,0,6,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
